result | reference pattern | recorded pattern | recorded pattern spike count
1|[9,8,0,3,1,4,6,0,0,8,]|[9,8,0,3,1,4,6,0,0,8,]|[39,44,45,47,41,57,47,42,40,38,]
1|[9,4,1,6,5,5,0,3,6,9,]|[9,4,1,6,5,5,0,3,6,9,]|[51,48,42,43,47,43,49,41,43,39,]
1|[5,2,5,7,1,4,0,3,4,4,]|[5,2,5,7,1,4,0,3,4,4,]|[39,44,51,48,48,46,46,40,39,42,]
1|[2,7,4,0,0,8,1,2,6,8,]|[2,7,4,0,0,8,1,2,6,8,]|[50,49,48,39,35,43,52,47,36,44,]
1|[1,5,6,2,9,7,8,8,0,3,]|[1,5,6,2,9,7,8,8,0,3,]|[47,47,66,51,50,34,46,56,56,51,]
1|[7,1,5,9,6,1,5,7,7,8,]|[7,1,5,9,6,1,5,7,7,8,]|[39,44,53,41,42,43,45,53,32,38,]
1|[0,3,3,7,6,4,8,8,1,6,]|[0,3,3,7,6,4,8,8,1,6,]|[42,47,38,54,38,52,41,42,53,34,]
1|[7,5,1,7,2,3,1,1,5,8,]|[7,5,1,7,2,3,1,1,5,8,]|[42,41,43,44,37,46,37,45,52,45,]
1|[2,1,6,0,2,6,0,5,8,1,]|[2,1,6,0,2,6,0,5,8,1,]|[66,52,49,59,63,39,47,42,42,34,]
1|[1,7,4,9,0,6,8,7,3,1,]|[1,7,4,9,0,6,8,7,3,1,]|[44,42,54,45,44,48,42,44,45,48,]
1|[6,5,2,9,3,8,7,4,6,2,]|[6,5,2,9,3,8,7,4,6,2,]|[38,50,48,49,38,44,47,42,44,33,]
1|[5,7,6,0,1,7,4,9,7,2,]|[5,7,6,0,1,7,4,9,7,2,]|[52,55,38,56,40,47,50,41,47,40,]
1|[5,9,8,6,8,0,4,8,2,4,]|[5,9,8,6,8,0,4,8,2,4,]|[43,43,37,36,40,44,58,46,53,44,]
1|[0,9,2,3,6,7,3,6,9,4,]|[0,9,2,3,6,7,3,6,9,4,]|[47,54,53,46,42,53,49,56,37,51,]
1|[6,4,4,5,2,8,4,4,7,6,]|[6,4,4,5,2,8,4,4,7,6,]|[41,37,49,36,41,45,46,34,49,42,]
1|[0,0,2,8,4,1,9,9,0,2,]|[0,0,2,8,4,1,9,9,0,2,]|[53,44,48,54,47,49,53,30,52,40,]
1|[1,4,3,1,5,6,8,1,7,2,]|[1,4,3,1,5,6,8,1,7,2,]|[44,40,51,55,46,47,49,38,45,44,]
1|[4,3,4,0,2,8,9,2,6,1,]|[4,3,4,0,2,8,9,2,6,1,]|[46,50,28,37,60,55,42,41,51,51,]
1|[3,1,2,1,0,7,5,5,1,9,]|[3,1,2,1,0,7,5,5,1,9,]|[51,64,52,44,46,47,47,58,43,44,]
1|[5,8,1,9,3,9,1,4,8,0,]|[5,8,1,9,3,9,1,4,8,0,]|[47,57,64,55,40,39,42,49,43,36,]
1|[5,9,7,3,7,1,4,4,3,5,]|[5,9,7,3,7,1,4,4,3,5,]|[44,42,52,48,46,48,46,54,48,30,]
1|[5,2,6,2,2,0,0,5,2,7,]|[5,2,6,2,2,0,0,5,2,7,]|[51,48,50,38,54,43,49,52,46,41,]
1|[6,3,1,0,7,3,8,9,4,9,]|[6,3,1,0,7,3,8,9,4,9,]|[44,58,53,36,57,47,32,38,48,39,]
1|[7,1,0,5,1,0,8,8,9,0,]|[7,1,0,5,1,0,8,8,9,0,]|[48,41,36,48,45,47,45,50,40,43,]
1|[4,5,7,5,4,0,6,3,9,6,]|[4,5,7,5,4,0,6,3,9,6,]|[42,45,45,50,38,51,62,53,46,41,]
1|[2,3,9,4,3,4,8,5,6,3,]|[2,3,9,4,3,4,8,5,6,3,]|[48,46,47,41,50,53,45,43,39,49,]
1|[2,0,6,7,1,1,0,4,1,2,]|[2,0,6,7,1,1,0,4,1,2,]|[55,51,41,47,33,46,42,39,52,56,]
1|[1,2,8,3,1,7,4,7,1,7,]|[1,2,8,3,1,7,4,7,1,7,]|[39,49,46,45,45,43,44,42,49,38,]
1|[0,7,7,8,2,5,6,9,7,4,]|[0,7,7,8,2,5,6,9,7,4,]|[51,41,37,51,45,50,37,36,47,32,]
1|[7,1,1,0,0,5,3,2,5,8,]|[7,1,1,0,0,5,3,2,5,8,]|[34,51,46,49,44,51,40,52,48,49,]
1|[9,8,0,3,1,4,6,0,0,8,]|[9,8,0,3,1,4,6,0,0,8,]|[55,52,37,57,46,57,57,47,56,35,]
1|[9,4,1,6,5,5,0,3,6,9,]|[9,4,1,6,5,5,0,3,6,9,]|[41,29,42,43,53,57,35,45,40,6,]

1|[2,6,6,2,2,1,2,4,8,1,]|[2,6,6,2,2,1,2,4,8,1,]|[54,47,52,53,48,47,44,53,37,41,]
1|[7,5,8,3,0,4,6,0,6,3,]|[7,5,8,3,0,4,6,0,6,3,]|[68,43,46,44,48,48,51,45,40,36,]
1|[3,4,0,8,1,0,5,6,7,9,]|[3,4,0,8,1,0,5,6,7,9,]|[40,54,45,46,52,45,41,41,47,44,]
1|[9,9,0,1,3,7,8,7,1,4,]|[9,9,0,1,3,7,8,7,1,4,]|[57,47,43,35,41,57,51,53,47,36,]
1|[0,3,4,5,1,0,8,7,5,9,]|[0,3,4,5,1,0,8,7,5,9,]|[53,56,53,48,47,51,58,54,45,45,]
1|[4,9,5,9,3,2,2,1,9,5,]|[4,9,5,9,3,2,2,1,9,5,]|[46,43,42,44,52,48,42,56,49,39,]
1|[5,2,5,7,1,4,0,3,4,4,]|[5,2,5,7,1,4,0,3,4,4,]|[50,39,48,57,61,44,46,46,49,35,]
1|[8,8,5,8,3,5,4,0,0,2,]|[8,8,5,8,3,5,4,0,0,2,]|[50,57,36,39,46,52,47,42,48,48,]
1|[7,4,2,1,2,5,0,9,8,2,]|[7,4,2,1,2,5,0,9,8,2,]|[43,53,47,57,55,50,37,46,44,53,]
1|[4,7,8,1,6,3,2,4,2,9,]|[4,7,8,1,6,3,2,4,2,9,]|[51,60,51,49,37,49,52,54,56,42,]
