result | reference pattern | recorded pattern | recorded pattern spike count
1|[7,5,8,3,0,4,6,0,6,3,]|[7,5,8,3,0,4,6,0,6,3,]|[51,48,42,47,57,38,52,46,42,42,]
1|[3,4,0,8,1,0,5,6,7,9,]|[3,4,0,8,1,0,5,6,7,9,]|[43,50,59,48,35,44,42,44,48,43,]
1|[9,9,0,1,3,7,8,7,1,4,]|[9,9,0,1,3,7,8,7,1,4,]|[44,49,49,52,49,51,43,44,54,34,]
1|[0,3,4,5,1,0,8,7,5,9,]|[0,3,4,5,1,0,8,7,5,9,]|[56,58,60,49,44,37,48,47,35,35,]
1|[4,9,5,9,3,2,2,1,9,5,]|[4,9,5,9,3,2,2,1,9,5,]|[44,45,49,48,52,47,54,37,49,29,]
1|[8,8,5,8,3,5,4,0,0,2,]|[8,8,5,8,3,5,4,0,0,2,]|[41,49,44,49,54,47,50,57,56,43,]
1|[7,4,2,1,2,5,0,9,8,2,]|[7,4,2,1,2,5,0,9,8,2,]|[45,38,55,36,46,33,49,40,42,12,]
1|[4,7,8,1,6,3,2,4,2,9,]|[4,7,8,1,6,3,2,4,2,9,]|[51,49,44,53,49,54,43,48,47,46,]
1|[4,7,3,7,2,0,2,2,2,0,]|[4,7,3,7,2,0,2,2,2,0,]|[47,58,35,52,45,55,41,59,47,36,]
1|[5,4,2,7,4,3,9,8,9,7,]|[5,4,2,7,4,3,9,8,9,7,]|[42,52,46,50,42,42,45,46,68,38,]
1|[6,0,9,0,5,2,9,9,0,8,]|[6,0,9,0,5,2,9,9,0,8,]|[42,49,53,53,35,59,47,44,38,36,]
1|[1,4,0,9,9,5,0,3,0,0,]|[1,4,0,9,9,5,0,3,0,0,]|[46,53,58,57,49,54,43,53,65,41,]
1|[5,8,4,1,4,3,2,7,5,4,]|[5,8,4,1,4,3,2,7,5,4,]|[46,43,38,52,42,48,41,37,45,12,]
1|[9,6,8,8,7,8,5,1,6,3,]|[9,6,8,8,7,8,5,1,6,3,]|[47,33,46,48,44,51,48,50,41,29,]
1|[2,7,2,7,7,2,3,8,9,1,]|[2,7,2,7,7,2,3,8,9,1,]|[40,40,42,36,42,50,43,51,52,40,]
1|[9,4,1,0,8,8,0,2,8,8,]|[9,4,1,0,8,8,0,2,8,8,]|[47,41,61,50,48,51,43,38,34,33,]
1|[3,7,3,7,5,3,2,4,3,3,]|[3,7,3,7,5,3,2,4,3,3,]|[48,53,52,44,64,23,43,49,56,41,]
1|[4,9,3,0,3,6,9,5,1,0,]|[4,9,3,0,3,6,9,5,1,0,]|[41,49,56,53,41,44,62,50,47,45,]
1|[4,6,5,6,7,1,3,5,8,4,]|[4,6,5,6,7,1,3,5,8,4,]|[44,44,46,47,42,58,60,60,51,39,]
1|[1,0,9,5,5,8,4,9,9,7,]|[1,0,9,5,5,8,4,9,9,7,]|[41,31,40,51,41,46,42,43,52,48,]
1|[4,1,1,4,5,8,3,9,4,4,]|[4,1,1,4,5,8,3,9,4,4,]|[48,41,47,44,53,58,43,46,46,38,]
1|[9,2,9,2,6,8,3,7,6,2,]|[9,2,9,2,6,8,3,7,6,2,]|[42,52,36,30,40,59,54,47,36,32,]
1|[9,0,3,2,5,6,2,7,6,2,]|[9,0,3,2,5,6,2,7,6,2,]|[43,32,48,45,52,49,58,56,59,44,]
1|[3,9,2,0,3,4,9,3,1,3,]|[3,9,2,0,3,4,9,3,1,3,]|[50,53,46,44,38,52,44,35,47,43,]
1|[0,1,3,7,2,5,9,8,1,3,]|[0,1,3,7,2,5,9,8,1,3,]|[42,44,58,43,55,52,53,34,51,45,]
1|[3,2,1,3,2,9,7,3,9,0,]|[3,2,1,3,2,9,7,3,9,0,]|[53,51,53,47,55,53,44,48,43,37,]
1|[0,2,3,3,9,7,7,7,5,5,]|[0,2,3,3,9,7,7,7,5,5,]|[50,51,48,54,46,46,47,42,46,36,]
1|[2,3,6,6,2,4,6,9,2,4,]|[2,3,6,6,2,4,6,9,2,4,]|[48,51,39,36,48,34,47,47,53,50,]
1|[9,8,4,3,0,3,1,0,2,9,]|[9,8,4,3,0,3,1,0,2,9,]|[37,46,62,45,51,58,48,39,42,31,]
1|[8,4,2,6,2,3,4,4,3,9,]|[8,4,2,6,2,3,4,4,3,9,]|[49,38,49,57,48,43,34,47,30,41,]
1|[2,7,6,1,0,7,7,1,5,2,]|[2,7,6,1,0,7,7,1,5,2,]|[44,49,37,42,45,45,51,42,40,25,]
1|[2,4,5,9,1,3,7,1,1,5,]|[2,4,5,9,1,3,7,1,1,5,]|[48,50,48,50,45,45,46,60,49,46,]
1|[7,9,4,0,9,9,1,6,7,0,]|[7,9,4,0,9,9,1,6,7,0,]|[49,42,42,39,43,52,39,42,50,43,]
1|[0,0,4,2,8,6,3,6,1,2,]|[0,0,4,2,8,6,3,6,1,2,]|[44,39,47,41,29,59,45,52,45,39,]
1|[7,3,8,1,9,7,7,8,3,8,]|[7,3,8,1,9,7,7,8,3,8,]|[56,36,51,43,36,39,47,48,42,37,]
1|[2,4,0,6,9,3,4,4,6,1,]|[2,4,0,6,9,3,4,4,6,1,]|[43,61,47,44,62,28,42,37,44,44,]
1|[1,8,9,8,3,4,9,8,9,3,]|[1,8,9,8,3,4,9,8,9,3,]|[49,41,48,62,43,51,50,52,39,43,]
correct pattern: 62/70(88.5714%)
