result | reference pattern | recorded pattern | recorded pattern spike count
0|[9,8,0,3,1,4,6,0,0,8,]|[9,8,0,3,1,4,6,0,0,3,]|[55,52,37,57,46,57,57,47,56,9,]
0|[9,4,1,6,5,5,0,3,6,9,]|[9,4,1,6,5,5,0,3,6,-1,]|[41,29,42,43,53,57,35,45,40,0,]
0|[5,2,5,7,1,4,0,3,4,4,]|[5,2,5,7,1,4,0,3,4,-1,]|[50,39,48,57,61,44,46,46,49,0,]
0|[2,7,4,0,0,8,1,2,6,8,]|[2,7,4,0,0,8,1,2,6,-1,]|[46,38,49,44,51,57,51,47,43,0,]
0|[1,5,6,2,9,7,8,8,0,3,]|[1,5,6,2,9,7,8,8,0,-1,]|[40,49,48,64,51,57,48,52,51,0,]
0|[7,1,5,9,6,1,5,7,7,8,]|[7,1,5,9,6,1,5,7,7,-1,]|[45,44,36,58,44,44,46,44,43,0,]
0|[0,3,3,7,6,4,8,8,1,6,]|[0,3,3,7,6,4,8,8,1,3,]|[49,41,54,39,46,48,45,37,54,1,]
0|[7,5,1,7,2,3,1,1,5,8,]|[7,5,1,7,2,3,1,1,5,-1,]|[43,57,44,52,48,50,38,52,42,0,]
1|[2,1,6,0,2,6,0,5,8,1,]|[2,1,6,0,2,6,0,5,8,1,]|[37,50,41,49,42,50,52,45,47,28,]
1|[1,7,4,9,0,6,8,7,3,1,]|[1,7,4,9,0,6,8,7,3,1,]|[42,50,48,45,56,51,36,40,48,1,]
0|[6,5,2,9,3,8,7,4,6,2,]|[6,5,2,9,3,8,7,4,6,-1,]|[41,40,48,46,52,44,42,39,50,0,]
0|[5,7,6,0,1,7,4,9,7,2,]|[5,7,6,0,1,7,4,9,7,-1,]|[46,48,42,45,39,39,56,45,60,0,]
0|[5,9,8,6,8,0,4,8,2,4,]|[5,9,8,6,8,0,4,8,2,-1,]|[48,43,39,35,40,49,50,58,41,0,]
0|[0,9,2,3,6,7,3,6,9,4,]|[0,9,2,3,6,7,3,6,9,-1,]|[42,43,33,49,48,45,31,45,55,0,]
0|[6,4,4,5,2,8,4,4,7,6,]|[6,4,4,5,2,8,4,4,7,-1,]|[46,45,48,47,41,36,38,46,51,0,]
0|[0,0,2,8,4,1,9,9,0,2,]|[0,0,2,8,4,1,9,9,0,-1,]|[42,35,34,47,50,53,42,44,51,0,]
0|[1,4,3,1,5,6,8,1,7,2,]|[1,4,3,1,5,6,8,1,7,-1,]|[48,56,45,49,45,46,37,49,40,0,]
0|[4,3,4,0,2,8,9,2,6,1,]|[4,3,4,0,2,8,9,2,6,-1,]|[49,52,41,48,37,45,61,51,59,0,]
1|[3,1,2,1,0,7,5,5,1,9,]|[3,1,2,1,0,7,5,5,1,9,]|[45,33,36,33,37,39,55,54,35,4,]
1|[5,8,1,9,3,9,1,4,8,0,]|[5,8,1,9,3,9,1,4,8,0,]|[47,59,44,42,41,48,50,40,45,45,]
1|[5,9,7,3,7,1,4,4,3,5,]|[5,9,7,3,7,1,4,4,3,5,]|[48,47,49,37,44,42,47,48,56,35,]
1|[5,2,6,2,2,0,0,5,2,7,]|[5,2,6,2,2,0,0,5,2,7,]|[56,44,48,49,43,42,56,45,46,33,]
1|[6,3,1,0,7,3,8,9,4,9,]|[6,3,1,0,7,3,8,9,4,9,]|[49,50,38,41,50,41,44,44,50,10,]
0|[7,1,0,5,1,0,8,8,9,0,]|[7,1,0,5,1,0,8,8,9,9,]|[53,37,48,44,39,49,42,45,38,1,]
1|[4,5,7,5,4,0,6,3,9,6,]|[4,5,7,5,4,0,6,3,9,6,]|[42,57,42,48,50,47,39,57,56,38,]
1|[2,3,9,4,3,4,8,5,6,3,]|[2,3,9,4,3,4,8,5,6,3,]|[38,50,49,48,41,37,36,44,49,26,]
1|[2,0,6,7,1,1,0,4,1,2,]|[2,0,6,7,1,1,0,4,1,2,]|[43,45,47,40,35,55,60,46,38,21,]
1|[1,2,8,3,1,7,4,7,1,7,]|[1,2,8,3,1,7,4,7,1,7,]|[44,43,49,52,59,66,41,47,47,41,]
1|[0,7,7,8,2,5,6,9,7,4,]|[0,7,7,8,2,5,6,9,7,4,]|[50,46,39,49,40,48,54,53,49,39,]
1|[7,1,1,0,0,5,3,2,5,8,]|[7,1,1,0,0,5,3,2,5,8,]|[41,40,59,45,57,46,34,47,61,33,]
1|[8,8,5,8,4,7,5,9,4,8,]|[8,8,5,8,4,7,5,9,4,8,]|[64,50,49,45,52,42,43,57,42,41,]
1|[2,8,1,9,7,9,9,8,4,0,]|[2,8,1,9,7,9,9,8,4,0,]|[42,47,38,47,43,35,47,43,62,13,]
1|[2,6,6,2,2,1,2,4,8,1,]|[2,6,6,2,2,1,2,4,8,1,]|[52,34,44,41,39,58,40,56,44,39,]
1|[7,5,8,3,0,4,6,0,6,3,]|[7,5,8,3,0,4,6,0,6,3,]|[51,48,42,47,57,38,52,46,42,39,]
1|[3,4,0,8,1,0,5,6,7,9,]|[3,4,0,8,1,0,5,6,7,9,]|[42,50,59,48,35,44,42,44,48,37,]
0|[9,9,0,1,3,7,8,7,1,4,]|[9,9,0,1,3,7,8,7,1,9,]|[44,49,49,52,49,50,43,44,54,4,]
1|[0,3,4,5,1,0,8,7,5,9,]|[0,3,4,5,1,0,8,7,5,9,]|[56,58,60,49,44,37,48,47,35,33,]
1|[4,9,5,9,3,2,2,1,9,5,]|[4,9,5,9,3,2,2,1,9,5,]|[44,45,49,48,52,47,54,37,49,27,]
1|[8,8,5,8,3,5,4,0,0,2,]|[8,8,5,8,3,5,4,0,0,2,]|[41,49,44,49,54,47,50,57,56,30,]
0|[7,4,2,1,2,5,0,9,8,2,]|[7,4,2,1,2,5,0,9,8,-1,]|[45,38,55,36,46,33,49,40,42,0,]
1|[4,7,8,1,6,3,2,4,2,9,]|[4,7,8,1,6,3,2,4,2,9,]|[51,49,44,53,49,54,43,48,46,43,]
1|[4,7,3,7,2,0,2,2,2,0,]|[4,7,3,7,2,0,2,2,2,0,]|[47,58,35,52,45,55,41,58,47,23,]
1|[5,4,2,7,4,3,9,8,9,7,]|[5,4,2,7,4,3,9,8,9,7,]|[42,52,46,50,42,42,45,46,68,29,]
1|[6,0,9,0,5,2,9,9,0,8,]|[6,0,9,0,5,2,9,9,0,8,]|[42,49,53,53,35,59,47,44,38,40,]
1|[1,4,0,9,9,5,0,3,0,0,]|[1,4,0,9,9,5,0,3,0,0,]|[46,53,58,57,49,54,43,53,65,31,]
0|[5,8,4,1,4,3,2,7,5,4,]|[5,8,4,1,4,3,2,7,5,-1,]|[46,43,38,52,42,48,41,37,45,0,]
1|[9,6,8,8,7,8,5,1,6,3,]|[9,6,8,8,7,8,5,1,6,3,]|[47,33,46,48,44,50,48,50,41,20,]
1|[2,7,2,7,7,2,3,8,9,1,]|[2,7,2,7,7,2,3,8,9,1,]|[40,40,42,36,42,50,43,51,52,35,]
1|[9,4,1,0,8,8,0,2,8,8,]|[9,4,1,0,8,8,0,2,8,8,]|[47,41,61,50,48,51,43,38,34,22,]
1|[3,7,3,7,5,3,2,4,3,3,]|[3,7,3,7,5,3,2,4,3,3,]|[48,53,52,44,64,23,43,49,56,40,]
1|[4,9,3,0,3,6,9,5,1,0,]|[4,9,3,0,3,6,9,5,1,0,]|[41,48,56,53,41,44,62,50,47,33,]
1|[4,6,5,6,7,1,3,5,8,4,]|[4,6,5,6,7,1,3,5,8,4,]|[44,43,46,47,42,58,60,60,51,27,]
1|[1,0,9,5,5,8,4,9,9,7,]|[1,0,9,5,5,8,4,9,9,7,]|[41,31,40,51,41,46,42,43,52,48,]
1|[4,1,1,4,5,8,3,9,4,4,]|[4,1,1,4,5,8,3,9,4,4,]|[48,41,47,44,53,58,43,46,46,34,]
1|[9,2,9,2,6,8,3,7,6,2,]|[9,2,9,2,6,8,3,7,6,2,]|[42,52,36,30,40,59,54,47,36,31,]
1|[9,0,3,2,5,6,2,7,6,2,]|[9,0,3,2,5,6,2,7,6,2,]|[43,32,48,45,52,49,58,56,59,43,]
1|[3,9,2,0,3,4,9,3,1,3,]|[3,9,2,0,3,4,9,3,1,3,]|[50,53,46,44,38,52,44,35,47,41,]
1|[0,1,3,7,2,5,9,8,1,3,]|[0,1,3,7,2,5,9,8,1,3,]|[42,44,58,43,55,52,53,34,51,42,]
1|[3,2,1,3,2,9,7,3,9,0,]|[3,2,1,3,2,9,7,3,9,0,]|[53,50,53,47,55,53,44,48,43,34,]
1|[0,2,3,3,9,7,7,7,5,5,]|[0,2,3,3,9,7,7,7,5,5,]|[50,51,48,54,46,46,47,42,45,36,]
