1,5,8,10,16,27,58,69,81,93
2,14,26,40,88
3,20,28,50,57
4,0,10,30,60,81,90
5,20,30,40,70,80
6,10,20,40,45,80
7,20,80
8,30,50,60
9,0,20,40,60,70
10,30,40,43,50,68,80,90
11,0,30,50,60,90
12,10,30,40,70
13,0,10,20,40,50,60,70
14,0,10,30,50,90
15,10,20,50,60
16,0,10,30,40,60,70,80,90
17,30,40,60,70,80,90
18,0,10,20,30,40,70,80,90
19,0,20,50,70
20,0,10,20,30,40,50,60,70,90
21,0,10,20,30,50,70,80,90
22,0,10,20,40,50,60,80,90
23,0,10,20,40,50,60,70,80,90
24,0,10,20,30,50,60,70,80,90
25,10,18,30,40,50,70,80,90
26,20,30,50,60,70,90
27,80,90
28,30,90
30,64
31,30,53
32,61,80
34,51,91
35,1
38,1,21,31,51,61
39,1,31,81
40,31,81,91
41,41,51,61,81
42,31,53,71,81
43,21,31,41,61,71
44,11,21,41,51,71,81
45,1,11,21,31,61
46,21,31,41,51,71
47,1,11,21
48,1,11,21,41,51,71,78,91
49,1,11,21,61,91
50,1,21,41,51,61,71
51,1,21,41,51,71
52,11
53,31
54,21,32
56,12
60,22,62
61,82
62,42,72
63,12,32,72
64,22,62
65,2,32,62,92
66,2,82
67,62
68,2,12,22,32,42,48,72,92
69,2,52,62,72,92
70,2,22,32,42,62,72,92
71,2,62,82
72,12,22,32,42,72,82,92
73,2,42,62,82
74,2,12,22,32,42,52,62,72,92
75,2,12,22,62,72,82,92
76,22,72
77,72
79,42
81,22,41
82,72
83,43
85,73
86,23
87,13
88,13,23,63
89,3,23,33,43
90,53,63,83
91,23,93
92,3,13,73
93,33,83
94,43
95,3,33,43,63,83,93
96,3,13,43,53,73,83,93
97,13,23,43,53,73,83
98,13,43,53,73,83
99,3,33,42,43,53,93
100,3,13,38,53,63,73
101,13,63,93
103,43
104,69
105,74
108,4
111,94
113,24,44
114,34,64
115,24,34
116,54,74,94
117,14
118,4,14,54
119,14,34,44,54,64,74,84
120,4,14,24,44,54,64,84
121,4,14,54,94
122,4,24,27,34,44,54,64,74,94
123,24,44,64,74,84
124,34,44,74
125,14,24,44,64,94
126,14,34,44,64,84
127,4,84
131,21,64,75
132,44
136,5
137,15,65
138,75
139,5
140,25,35,45,55
141,55
142,45
143,5,65
144,15,35,45,65,75,95
145,5,15,55,65,85
146,5,15,35,65,79,85
147,5,15,45,55,65,75,85
148,5,25,55,65
149,5,45,55,65,85,95
150,5,15,35,45,55,75,85
151,25,45,55,65
152,85,95
153,15,25,65
155,65,76
158,16,45
161,56
162,26
163,16,26,76,96
165,6,46,66
166,6,16,96
167,6,26,56,76
168,6,26,46,56,96
169,46,56,96
170,16,26,56,86,96
171,6,46,76
172,6,16,26,36,46,56,66
173,16,36,46,56,86
174,26,56,66,76,86
175,16,36,46,56,76
176,6,16,76
177,6,66,86
182,46,87
183,61
185,47
186,17
187,7,47,97
189,17,87
190,37,77
191,27,57
192,57
193,37,67,77
194,17,47,67,87,97
195,17,47,57,97
196,7,27,37,57,87,97
197,37,57,67,71,97
198,7,37,57,77,87,97
199,17,77
200,7,17,27,37,67,87,97
201,27,37,47
202,37,87
204,27,67
205,57
208,28,87
209,8
211,68
212,8
213,8,78
214,18,58
215,38,68,88,98
216,8,68,88
217,8,18,28,38,48
218,8,28,38,48
219,98
220,18,68,78
221,8,18,28,38,58,78
222,8,18,28,38,48,68,88,98
223,9,18,28,38,48,58,68,88
224,8,18,38,68,88,98
225,8,28,48,58,68,88,98
226,68
228,18
229,18
230,38
235,89
236,28
237,39,89,99
238,9,99
239,19,59
240,29,49
241,99
242,48,99
243,29,39,59,96,99
244,29,99
245,9,39,59,79,89
246,29,39,49,59,79,89,99
247,19,29,59,99
248,9,19,29,39,49,59,69,79,87,99
249,19,29,59,69,99
250,9,19,29,39,59,69,79,89
251,19,29,99
252,9,39,49,89
253,83
254,29
255,89
256,98
257,9,50,89
261,20,60
262,40,80
264,0,30,60,70
265,40,60
266,0,10,70
267,0,10
268,40,50,60
269,0,30,50,60,70
270,0,10,20,30,40,50,70
271,30,70,80
