result | reference pattern | recorded pattern | recorded pattern spike count
1|[1,4,0,9,9,5,0,3,0,0,]|[1,4,0,9,9,5,0,3,0,0,]|[37,47,36,43,37,42,53,49,53,44,]
1|[5,8,4,1,4,3,2,7,5,4,]|[5,8,4,1,4,3,2,7,5,4,]|[47,52,43,57,42,51,45,51,46,46,]
1|[9,6,8,8,7,8,5,1,6,3,]|[9,6,8,8,7,8,5,1,6,3,]|[46,44,60,45,43,50,39,47,40,39,]
1|[2,7,2,7,7,2,3,8,9,1,]|[2,7,2,7,7,2,3,8,9,1,]|[52,50,49,51,47,50,44,51,49,44,]
1|[9,4,1,0,8,8,0,2,8,8,]|[9,4,1,0,8,8,0,2,8,8,]|[58,32,44,43,47,59,40,48,47,39,]
1|[3,7,3,7,5,3,2,4,3,3,]|[3,7,3,7,5,3,2,4,3,3,]|[45,47,50,41,53,42,49,52,44,40,]
1|[4,9,3,0,3,6,9,5,1,0,]|[4,9,3,0,3,6,9,5,1,0,]|[40,62,53,53,45,45,51,44,35,57,]
1|[4,6,5,6,7,1,3,5,8,4,]|[4,6,5,6,7,1,3,5,8,4,]|[55,37,49,49,47,46,45,41,53,48,]
1|[1,0,9,5,5,8,4,9,9,7,]|[1,0,9,5,5,8,4,9,9,7,]|[49,49,44,41,56,54,32,42,48,45,]
1|[4,1,1,4,5,8,3,9,4,4,]|[4,1,1,4,5,8,3,9,4,4,]|[43,47,44,33,61,57,57,45,52,35,]
1|[9,2,9,2,6,8,3,7,6,2,]|[9,2,9,2,6,8,3,7,6,2,]|[45,51,45,41,38,42,57,33,39,54,]
1|[9,0,3,2,5,6,2,7,6,2,]|[9,0,3,2,5,6,2,7,6,2,]|[59,42,53,52,45,43,42,54,54,49,]
1|[3,9,2,0,3,4,9,3,1,3,]|[3,9,2,0,3,4,9,3,1,3,]|[45,42,45,46,56,45,45,35,37,38,]
1|[0,1,3,7,2,5,9,8,1,3,]|[0,1,3,7,2,5,9,8,1,3,]|[42,46,51,49,51,38,54,39,40,54,]
1|[3,2,1,3,2,9,7,3,9,0,]|[3,2,1,3,2,9,7,3,9,0,]|[53,42,51,51,51,44,41,37,43,46,]
1|[0,2,3,3,9,7,7,7,5,5,]|[0,2,3,3,9,7,7,7,5,5,]|[47,48,34,49,54,44,49,51,47,48,]
1|[2,3,6,6,2,4,6,9,2,4,]|[2,3,6,6,2,4,6,9,2,4,]|[37,57,37,43,54,62,45,46,49,57,]
1|[9,8,4,3,0,3,1,0,2,9,]|[9,8,4,3,0,3,1,0,2,9,]|[48,39,49,48,46,49,43,31,42,59,]
1|[8,4,2,6,2,3,4,4,3,9,]|[8,4,2,6,2,3,4,4,3,9,]|[38,50,52,50,52,32,46,47,46,62,]
1|[2,7,6,1,0,7,7,1,5,2,]|[2,7,6,1,0,7,7,1,5,2,]|[54,44,50,42,56,41,50,39,50,40,]
1|[2,4,5,9,1,3,7,1,1,5,]|[2,4,5,9,1,3,7,1,1,5,]|[56,35,53,64,57,46,51,45,42,39,]
1|[7,9,4,0,9,9,1,6,7,0,]|[7,9,4,0,9,9,1,6,7,0,]|[40,41,44,45,38,56,53,44,50,60,]
1|[0,0,4,2,8,6,3,6,1,2,]|[0,0,4,2,8,6,3,6,1,2,]|[42,47,51,51,38,60,39,52,38,53,]
1|[7,3,8,1,9,7,7,8,3,8,]|[7,3,8,1,9,7,7,8,3,8,]|[38,45,56,42,52,45,56,51,50,47,]
1|[2,4,0,6,9,3,4,4,6,1,]|[2,4,0,6,9,3,4,4,6,1,]|[57,52,45,51,46,38,47,45,47,44,]
1|[1,8,9,8,3,4,9,8,9,3,]|[1,8,9,8,3,4,9,8,9,3,]|[40,42,59,51,46,45,37,51,42,40,]
correct pattern: 70/70(100%)
