result | reference pattern | recorded pattern | recorded pattern spike count
1|[1,4,0,9,9,5,0,3,0,0,]|[1,4,0,9,9,5,0,3,0,0,]|[43,48,42,48,41,43,63,43,43,43,]
1|[5,8,4,1,4,3,2,7,5,4,]|[5,8,4,1,4,3,2,7,5,4,]|[51,37,42,38,53,51,40,49,42,48,]
1|[9,6,8,8,7,8,5,1,6,3,]|[9,6,8,8,7,8,5,1,6,3,]|[56,53,52,48,50,52,37,55,58,37,]
1|[2,7,2,7,7,2,3,8,9,1,]|[2,7,2,7,7,2,3,8,9,1,]|[43,40,45,41,48,50,44,46,41,47,]
1|[9,4,1,0,8,8,0,2,8,8,]|[9,4,1,0,8,8,0,2,8,8,]|[42,51,49,53,47,55,47,38,48,41,]
1|[3,7,3,7,5,3,2,4,3,3,]|[3,7,3,7,5,3,2,4,3,3,]|[33,53,44,48,40,50,56,54,53,43,]
1|[4,9,3,0,3,6,9,5,1,0,]|[4,9,3,0,3,6,9,5,1,0,]|[39,50,54,40,55,47,53,62,57,35,]
1|[4,6,5,6,7,1,3,5,8,4,]|[4,6,5,6,7,1,3,5,8,4,]|[57,50,31,40,44,50,55,50,54,32,]
1|[1,0,9,5,5,8,4,9,9,7,]|[1,0,9,5,5,8,4,9,9,7,]|[46,42,38,48,45,44,60,57,50,30,]
1|[4,1,1,4,5,8,3,9,4,4,]|[4,1,1,4,5,8,3,9,4,4,]|[37,40,45,42,54,40,39,44,44,46,]
1|[9,2,9,2,6,8,3,7,6,2,]|[9,2,9,2,6,8,3,7,6,2,]|[49,49,39,53,51,43,56,55,40,41,]
1|[9,0,3,2,5,6,2,7,6,2,]|[9,0,3,2,5,6,2,7,6,2,]|[50,52,49,58,42,43,52,42,31,39,]
1|[3,9,2,0,3,4,9,3,1,3,]|[3,9,2,0,3,4,9,3,1,3,]|[41,31,44,43,47,55,62,58,51,50,]
1|[0,1,3,7,2,5,9,8,1,3,]|[0,1,3,7,2,5,9,8,1,3,]|[53,47,44,56,49,53,51,47,52,56,]
1|[3,2,1,3,2,9,7,3,9,0,]|[3,2,1,3,2,9,7,3,9,0,]|[33,46,51,51,38,36,41,43,55,50,]
1|[0,2,3,3,9,7,7,7,5,5,]|[0,2,3,3,9,7,7,7,5,5,]|[43,44,45,38,38,46,50,39,56,47,]
1|[2,3,6,6,2,4,6,9,2,4,]|[2,3,6,6,2,4,6,9,2,4,]|[44,34,38,45,45,49,34,50,46,35,]
1|[9,8,4,3,0,3,1,0,2,9,]|[9,8,4,3,0,3,1,0,2,9,]|[47,53,45,41,52,48,47,40,37,45,]
1|[8,4,2,6,2,3,4,4,3,9,]|[8,4,2,6,2,3,4,4,3,9,]|[44,54,38,47,41,50,47,47,40,56,]
1|[2,7,6,1,0,7,7,1,5,2,]|[2,7,6,1,0,7,7,1,5,2,]|[54,39,42,60,49,49,53,48,44,48,]
1|[2,4,5,9,1,3,7,1,1,5,]|[2,4,5,9,1,3,7,1,1,5,]|[61,55,35,44,55,41,51,41,31,45,]
1|[7,9,4,0,9,9,1,6,7,0,]|[7,9,4,0,9,9,1,6,7,0,]|[34,47,48,37,51,45,54,44,33,52,]
1|[0,0,4,2,8,6,3,6,1,2,]|[0,0,4,2,8,6,3,6,1,2,]|[43,51,49,49,51,47,51,52,39,51,]
1|[7,3,8,1,9,7,7,8,3,8,]|[7,3,8,1,9,7,7,8,3,8,]|[48,49,46,46,52,49,60,48,43,45,]
1|[2,4,0,6,9,3,4,4,6,1,]|[2,4,0,6,9,3,4,4,6,1,]|[46,40,48,57,58,47,41,48,51,48,]
1|[1,8,9,8,3,4,9,8,9,3,]|[1,8,9,8,3,4,9,8,9,3,]|[50,48,48,39,39,45,54,48,60,60,]
correct pattern: 66/70(94.2857%)
