result | reference pattern | recorded pattern | recorded pattern spike count
0|[4,2,3,4,2,9,9,5,4,5,]|[4,2,3,4,2,9,9,5,4,4,]|[54,50,50,43,40,45,57,35,37,12,]
0|[3,9,3,3,6,2,7,1,8,4,]|[3,9,3,3,6,2,7,1,8,8,]|[42,43,46,39,44,42,32,49,46,20,]
0|[6,2,7,2,5,8,0,6,4,9,]|[6,2,7,2,5,8,0,6,4,0,]|[54,47,47,51,48,40,59,45,47,15,]
0|[0,9,8,5,4,9,9,3,8,1,]|[0,9,8,5,4,9,9,3,8,8,]|[42,46,40,35,47,43,38,44,46,21,]
0|[0,5,1,1,3,1,9,1,5,5,]|[0,5,1,1,3,1,9,1,5,6,]|[44,51,38,44,46,33,36,43,47,12,]
0|[9,1,7,4,8,7,4,7,4,3,]|[9,1,7,4,8,7,4,7,4,8,]|[43,50,40,49,49,50,45,55,56,13,]
0|[7,1,0,7,1,9,7,7,2,5,]|[7,1,0,7,1,9,7,7,2,0,]|[40,45,45,39,44,51,44,46,39,11,]
1|[1,7,3,2,5,6,5,4,4,8,]|[1,7,3,2,5,6,5,4,4,8,]|[37,42,36,50,64,44,47,55,48,19,]
0|[4,7,8,9,6,8,6,0,6,2,]|[4,7,8,9,6,8,6,0,6,0,]|[41,36,37,30,49,45,43,38,48,15,]
0|[6,1,7,7,0,2,6,4,2,3,]|[6,1,7,7,0,2,6,4,2,0,]|[44,48,50,34,44,42,38,48,41,20,]
0|[0,0,2,3,2,4,2,9,3,8,]|[0,0,2,3,2,4,2,9,3,9,]|[48,35,40,51,41,44,43,43,59,14,]
0|[7,3,1,8,6,6,5,4,5,3,]|[7,3,1,8,6,6,5,4,5,0,]|[44,35,39,48,44,39,50,38,45,12,]
0|[3,0,6,6,4,6,1,0,5,2,]|[3,0,6,6,4,6,1,0,5,9,]|[42,40,44,42,43,41,41,42,48,14,]
0|[0,8,8,6,7,7,6,1,2,9,]|[0,8,8,6,7,7,6,1,2,0,]|[59,45,35,47,25,50,37,33,58,15,]
0|[0,8,4,7,9,7,0,3,9,8,]|[0,8,4,7,9,7,0,3,9,0,]|[42,33,36,37,41,48,42,39,34,11,]
